,Location,Month_Date,SPEI_3_PM
1,Ninh Sơn District,01-01-1981,-0.494015685
2,Ninh Sơn District,01-02-1981,-0.494015685
3,Ninh Sơn District,01-03-1981,-1.082699346
4,Ninh Sơn District,01-04-1981,-0.657010966
5,Ninh Sơn District,01-05-1981,-0.614504086
6,Ninh Sơn District,01-06-1981,0.017589744
7,Ninh Sơn District,01-07-1981,0.091080806
8,Ninh Sơn District,01-08-1981,0.271908941
9,Ninh Sơn District,01-09-1981,-0.378104014
10,Ninh Sơn District,01-10-1981,-0.885382367
11,Ninh Sơn District,01-11-1981,-0.854064237
12,Ninh Sơn District,01-12-1981,-0.848971329
13,Ninh Sơn District,01-01-1982,-0.64827083
14,Ninh Sơn District,01-02-1982,-0.796926046
15,Ninh Sơn District,01-03-1982,-0.716589161
16,Ninh Sơn District,01-04-1982,-1.1102827
17,Ninh Sơn District,01-05-1982,-1.559445815
18,Ninh Sơn District,01-06-1982,-1.799574657
19,Ninh Sơn District,01-07-1982,-1.820916172
20,Ninh Sơn District,01-08-1982,-2.059622256
21,Ninh Sơn District,01-09-1982,-1.794645316
22,Ninh Sơn District,01-10-1982,-1.790864531
23,Ninh Sơn District,01-11-1982,-1.61067441
24,Ninh Sơn District,01-12-1982,-1.724933937
25,Ninh Sơn District,01-01-1983,-1.576632442
26,Ninh Sơn District,01-02-1983,-1.548797923
27,Ninh Sơn District,01-03-1983,-1.190291784
28,Ninh Sơn District,01-04-1983,-1.193550938
29,Ninh Sơn District,01-05-1983,-1.481128724
30,Ninh Sơn District,01-06-1983,-1.389275538
31,Ninh Sơn District,01-07-1983,-1.414729035
32,Ninh Sơn District,01-08-1983,-0.833360587
33,Ninh Sơn District,01-09-1983,-0.740291291
34,Ninh Sơn District,01-10-1983,-0.481487041
35,Ninh Sơn District,01-11-1983,-1.031443458
36,Ninh Sơn District,01-12-1983,-1.095540676
37,Ninh Sơn District,01-01-1984,-1.365775948
38,Ninh Sơn District,01-02-1984,-1.193312502
39,Ninh Sơn District,01-03-1984,-1.107119721
40,Ninh Sơn District,01-04-1984,-1.122988834
41,Ninh Sơn District,01-05-1984,-1.301556546
42,Ninh Sơn District,01-06-1984,-1.355216879
43,Ninh Sơn District,01-07-1984,-1.38178535
44,Ninh Sơn District,01-08-1984,-1.475921132
45,Ninh Sơn District,01-09-1984,-1.467797426
46,Ninh Sơn District,01-10-1984,-1.201774518
47,Ninh Sơn District,01-11-1984,-1.201118031
48,Ninh Sơn District,01-12-1984,-1.150114927
49,Ninh Sơn District,01-01-1985,-1.390363409
50,Ninh Sơn District,01-02-1985,-1.139059859
51,Ninh Sơn District,01-03-1985,-1.181351016
52,Ninh Sơn District,01-04-1985,-0.361636449
53,Ninh Sơn District,01-05-1985,-1.068334965
54,Ninh Sơn District,01-06-1985,-1.074623704
55,Ninh Sơn District,01-07-1985,-1.473139826
56,Ninh Sơn District,01-08-1985,-1.599093339
57,Ninh Sơn District,01-09-1985,-1.497050988
58,Ninh Sơn District,01-10-1985,-1.522884476
59,Ninh Sơn District,01-11-1985,-1.416793946
60,Ninh Sơn District,01-12-1985,-1.444334586
61,Ninh Sơn District,01-01-1986,-1.244144622
62,Ninh Sơn District,01-02-1986,-1.152088159
63,Ninh Sơn District,01-03-1986,-1.465807996
64,Ninh Sơn District,01-04-1986,-1.440609907
65,Ninh Sơn District,01-05-1986,-1.237705184
66,Ninh Sơn District,01-06-1986,-1.322479938
67,Ninh Sơn District,01-07-1986,-1.200678438
68,Ninh Sơn District,01-08-1986,-1.113009417
69,Ninh Sơn District,01-09-1986,-0.998406302
70,Ninh Sơn District,01-10-1986,-1.251591027
71,Ninh Sơn District,01-11-1986,-1.352566695
72,Ninh Sơn District,01-12-1986,-1.291439867
73,Ninh Sơn District,01-01-1987,-1.215062133
74,Ninh Sơn District,01-02-1987,-1.153213699
75,Ninh Sơn District,01-03-1987,-1.409560053
76,Ninh Sơn District,01-04-1987,-1.502777311
77,Ninh Sơn District,01-05-1987,-1.621364109
78,Ninh Sơn District,01-06-1987,-1.595650492
79,Ninh Sơn District,01-07-1987,-1.587187295
80,Ninh Sơn District,01-08-1987,-1.576013057
81,Ninh Sơn District,01-09-1987,-1.793304974
82,Ninh Sơn District,01-10-1987,-1.903609955
83,Ninh Sơn District,01-11-1987,-1.901520512
84,Ninh Sơn District,01-12-1987,-1.780875995
85,Ninh Sơn District,01-01-1988,-1.586435867
86,Ninh Sơn District,01-02-1988,-1.689422033
87,Ninh Sơn District,01-03-1988,-1.584112778
88,Ninh Sơn District,01-04-1988,-1.570685375
89,Ninh Sơn District,01-05-1988,-1.585623163
90,Ninh Sơn District,01-06-1988,-1.767192355
91,Ninh Sơn District,01-07-1988,-1.802012722
92,Ninh Sơn District,01-08-1988,-1.992554007
93,Ninh Sơn District,01-09-1988,-1.920289615
94,Ninh Sơn District,01-10-1988,-1.485769908
95,Ninh Sơn District,01-11-1988,-0.990955312
96,Ninh Sơn District,01-12-1988,-0.828618956
97,Ninh Sơn District,01-01-1989,-0.872081895
98,Ninh Sơn District,01-02-1989,-1.37811913
99,Ninh Sơn District,01-03-1989,-0.529129615
100,Ninh Sơn District,01-04-1989,-0.317322267
101,Ninh Sơn District,01-05-1989,-0.783513488
102,Ninh Sơn District,01-06-1989,-1.019613756
103,Ninh Sơn District,01-07-1989,-1.045069371
104,Ninh Sơn District,01-08-1989,-1.145885083
105,Ninh Sơn District,01-09-1989,-1.522665321
106,Ninh Sơn District,01-10-1989,-1.477555951
107,Ninh Sơn District,01-11-1989,-1.38587116
108,Ninh Sơn District,01-12-1989,-1.225473013
109,Ninh Sơn District,01-01-1990,-1.349478109
110,Ninh Sơn District,01-02-1990,-1.520831242
111,Ninh Sơn District,01-03-1990,-1.534369466
112,Ninh Sơn District,01-04-1990,-1.031308732
113,Ninh Sơn District,01-05-1990,-1.097950158
114,Ninh Sơn District,01-06-1990,-0.904967926
115,Ninh Sơn District,01-07-1990,-0.959730841
116,Ninh Sơn District,01-08-1990,-0.585141031
117,Ninh Sơn District,01-09-1990,-0.210054197
118,Ninh Sơn District,01-10-1990,0.004583608
119,Ninh Sơn District,01-11-1990,-0.053059979
120,Ninh Sơn District,01-12-1990,-0.272942564
121,Ninh Sơn District,01-01-1991,-0.339176949
122,Ninh Sơn District,01-02-1991,-0.422154243
123,Ninh Sơn District,01-03-1991,0.766885692
124,Ninh Sơn District,01-04-1991,1.124658608
125,Ninh Sơn District,01-05-1991,0.295516886
126,Ninh Sơn District,01-06-1991,-0.178491272
127,Ninh Sơn District,01-07-1991,0.176043095
128,Ninh Sơn District,01-08-1991,0.34597128
129,Ninh Sơn District,01-09-1991,0.055328163
130,Ninh Sơn District,01-10-1991,-0.507284362
131,Ninh Sơn District,01-11-1991,-0.659205915
132,Ninh Sơn District,01-12-1991,-0.704659382
133,Ninh Sơn District,01-01-1992,-0.814760393
134,Ninh Sơn District,01-02-1992,-0.354799448
135,Ninh Sơn District,01-03-1992,-0.195496731
136,Ninh Sơn District,01-04-1992,-0.716414722
137,Ninh Sơn District,01-05-1992,-1.014122564
138,Ninh Sơn District,01-06-1992,-0.754485088
139,Ninh Sơn District,01-07-1992,-0.651092275
140,Ninh Sơn District,01-08-1992,0.096421249
141,Ninh Sơn District,01-09-1992,-0.127373089
142,Ninh Sơn District,01-10-1992,0.39408493
143,Ninh Sơn District,01-11-1992,-0.255336067
144,Ninh Sơn District,01-12-1992,-0.207493374
145,Ninh Sơn District,01-01-1993,-0.819349907
146,Ninh Sơn District,01-02-1993,-0.732801918
147,Ninh Sơn District,01-03-1993,-0.626855085
148,Ninh Sơn District,01-04-1993,-0.571925598
149,Ninh Sơn District,01-05-1993,-0.322464275
150,Ninh Sơn District,01-06-1993,0.050294841
151,Ninh Sơn District,01-07-1993,0.042458155
152,Ninh Sơn District,01-08-1993,0.148426724
153,Ninh Sơn District,01-09-1993,-0.382042534
154,Ninh Sơn District,01-10-1993,-0.013243645
155,Ninh Sơn District,01-11-1993,0.03871212
156,Ninh Sơn District,01-12-1993,0.418277842
157,Ninh Sơn District,01-01-1994,0.268855829
158,Ninh Sơn District,01-02-1994,0.437999734
159,Ninh Sơn District,01-03-1994,-0.061127295
160,Ninh Sơn District,01-04-1994,-0.015591093
161,Ninh Sơn District,01-05-1994,-0.035192749
162,Ninh Sơn District,01-06-1994,0.762987775
163,Ninh Sơn District,01-07-1994,0.983457142
164,Ninh Sơn District,01-08-1994,0.837688004
165,Ninh Sơn District,01-09-1994,0.331429928
166,Ninh Sơn District,01-10-1994,0.333831109
167,Ninh Sơn District,01-11-1994,0.055767327
168,Ninh Sơn District,01-12-1994,0.061730708
169,Ninh Sơn District,01-01-1995,-0.233959631
170,Ninh Sơn District,01-02-1995,0.394888636
171,Ninh Sơn District,01-03-1995,-0.128911749
172,Ninh Sơn District,01-04-1995,-0.19633046
173,Ninh Sơn District,01-05-1995,-0.442828943
174,Ninh Sơn District,01-06-1995,-0.730343339
175,Ninh Sơn District,01-07-1995,-0.067785375
176,Ninh Sơn District,01-08-1995,0.242940642
177,Ninh Sơn District,01-09-1995,0.683327906
178,Ninh Sơn District,01-10-1995,0.491799695
179,Ninh Sơn District,01-11-1995,0.257080212
180,Ninh Sơn District,01-12-1995,0.239688151
181,Ninh Sơn District,01-01-1996,0.087934927
182,Ninh Sơn District,01-02-1996,0.428254661
183,Ninh Sơn District,01-03-1996,0.006787773
184,Ninh Sơn District,01-04-1996,-0.076515769
185,Ninh Sơn District,01-05-1996,0.890036435
186,Ninh Sơn District,01-06-1996,0.960650865
187,Ninh Sơn District,01-07-1996,0.689213699
188,Ninh Sơn District,01-08-1996,-0.209357998
189,Ninh Sơn District,01-09-1996,0.16581659
190,Ninh Sơn District,01-10-1996,0.413035943
191,Ninh Sơn District,01-11-1996,1.188446599
192,Ninh Sơn District,01-12-1996,1.190355587
193,Ninh Sơn District,01-01-1997,1.330719945
194,Ninh Sơn District,01-02-1997,0.97000436
195,Ninh Sơn District,01-03-1997,0.354417672
196,Ninh Sơn District,01-04-1997,0.802949546
197,Ninh Sơn District,01-05-1997,0.315659343
198,Ninh Sơn District,01-06-1997,0.183010664
199,Ninh Sơn District,01-07-1997,0.092728796
200,Ninh Sơn District,01-08-1997,0.189714244
201,Ninh Sơn District,01-09-1997,0.153721451
202,Ninh Sơn District,01-10-1997,-0.458188034
203,Ninh Sơn District,01-11-1997,-0.717665961
204,Ninh Sơn District,01-12-1997,-0.83149863
205,Ninh Sơn District,01-01-1998,-0.663868091
206,Ninh Sơn District,01-02-1998,-0.53071262
207,Ninh Sơn District,01-03-1998,-0.645160999
208,Ninh Sơn District,01-04-1998,-0.791191649
209,Ninh Sơn District,01-05-1998,0.163975836
210,Ninh Sơn District,01-06-1998,0.199633875
211,Ninh Sơn District,01-07-1998,0.323378859
212,Ninh Sơn District,01-08-1998,0.310145164
213,Ninh Sơn District,01-09-1998,1.069844095
214,Ninh Sơn District,01-10-1998,1.139005803
215,Ninh Sơn District,01-11-1998,1.61925752
216,Ninh Sơn District,01-12-1998,1.566484209
217,Ninh Sơn District,01-01-1999,1.81169327
218,Ninh Sơn District,01-02-1999,1.467833012
219,Ninh Sơn District,01-03-1999,0.984906356
220,Ninh Sơn District,01-04-1999,1.920581273
