Location,Year,Month,Month_Name,Date,SPEI3_Ridge,SPEI3_LightGBM,SPEI3_SARIMA,SPEI3_Ensemble,PI_Lower_90,PI_Upper_90,SPEI_Category,Ensemble_Weights
Ninh Sơn District,2026,1,January,2026-01-01,1.204542,1.243565,1.381654,1.274762,0.587907,1.961618,Very Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,2,February,2026-02-01,1.089066,0.882274,1.302484,1.089584,0.392426,1.786743,Very Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,3,March,2026-03-01,1.064322,1.600577,1.155253,1.271413,0.563952,1.978874,Very Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,4,April,2026-04-01,1.370031,1.319479,1.027794,1.242577,0.524813,1.960341,Very Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,5,May,2026-05-01,1.332181,1.195628,0.926827,1.155816,0.427749,1.883883,Very Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,6,June,2026-06-01,1.012436,0.566178,0.858987,0.814941,0.076571,1.55331,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,7,July,2026-07-01,0.682417,0.474858,0.759387,0.638544,-0.110129,1.387216,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,8,August,2026-08-01,0.539277,0.477508,0.639236,0.551145,-0.20783,1.31012,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,9,September,2026-09-01,0.616143,0.83698,0.593689,0.68205,-0.087228,1.451328,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,10,October,2026-10-01,0.744909,0.843163,0.598401,0.730072,-0.049509,1.509653,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,11,November,2026-11-01,0.761789,0.896778,0.563473,0.742365,-0.047519,1.532249,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2026,12,December,2026-12-01,0.679494,0.675402,0.481263,0.614016,-0.186171,1.414203,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,1,January,2027-01-01,0.586426,0.504007,0.422772,0.50618,-0.304309,1.31667,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,2,February,2027-02-01,0.483171,0.585945,0.369667,0.480508,-0.340285,1.3013,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,3,March,2027-03-01,0.537566,0.631654,0.327311,0.500729,-0.330367,1.331824,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,4,April,2027-04-01,0.571809,0.863368,0.289619,0.57713,-0.264268,1.418528,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,5,May,2027-05-01,0.653231,0.665062,0.255511,0.528499,-0.323201,1.3802,Moderately Wet,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,6,June,2027-06-01,0.558086,0.62185,0.223992,0.471143,-0.390861,1.333146,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,7,July,2027-07-01,0.45501,0.602611,0.198474,0.420932,-0.451374,1.293239,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,8,August,2027-08-01,0.465308,0.630057,0.17781,0.426897,-0.455713,1.309506,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,9,September,2027-09-01,0.496124,0.552636,0.155816,0.404768,-0.488145,1.29768,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,10,October,2027-10-01,0.477065,0.573112,0.133601,0.397787,-0.505428,1.301002,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,11,November,2027-11-01,0.455388,0.431787,0.116299,0.337882,-0.575635,1.2514,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2027,12,December,2027-12-01,0.401346,0.435745,0.104085,0.316588,-0.607233,1.240408,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2028,1,January,2028-01-01,0.376706,0.313555,0.092399,0.263816,-0.670307,1.19794,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2028,2,February,2028-02-01,0.336943,0.50524,0.082127,0.310279,-0.634148,1.254705,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
Ninh Sơn District,2028,3,March,2028-03-01,0.388217,0.538385,0.072745,0.335926,-0.618804,1.290655,Near Normal,Ridge=0.345|LightGBM=0.331|SARIMA=0.323
